;;;;;;;;
nom_fichier;num_poste;nom_usuel;latitude;longitude;altitude;temperature;;
SH_MTN101089001.csv;1089001;AMBERIEU;45.977;5.329;250;3.2;;
SH_MTN102320001.csv;2320001;ST QUENTIN;49.818;3.206;98;1.7;;
SH_MTN002705001.csv;2705001;NIZY-LE-COMTE;49.566;4.037;90;1.4;;
SH_MTN203059001.csv;3059001;CHAREIL-CINTRAT_SAPC;46.276;3.226;286;2.5;;
SH_MTN303060001.csv;3060001;VICHY-CHARMEIL;46.167;3.399;249;2;;
SH_MTN003180001.csv;3180001;MONTBEUGNY;46.536;3.423;275;2.3;;
SH_MTN203204001.csv;3204001;PARAY-SOUS-BRIAILLES;46.284;3.338;250;2.1;;
SH_MTN104049001.csv;4049001;ST AUBAN;44.062;5.99;458;2.3;;
SH_MTN105007001.csv;5007001;ARVIEUX LA CHALP;44.781;6.737;1690;-5.5;;
SH_MTN105046001.csv;5046001;EMBRUN;44.571;6.509;873;-0.1;;
SH_MTN105098001.csv;5098001;LES ORRES;44.501;6.552;1446;-2.4;;
SH_MTN105157001.csv;5157001;ST VERAN;44.693;6.869;2000;-4.3;;
SH_MTN105183001.csv;5183001;VILLAR ST PANCRACE;44.88;6.64;1310;-3.9;;
SH_MTN106029001.csv;6029001;CANNES;43.557;6.951;2;6.6;;
SH_MTN106088001.csv;6088001;NICE;43.649;7.209;2;7.8;;
SH_MTN006163007.csv;6163007;TENDE_SAPC;44.043;7.586;636;1.6;;
SH_MTN107010001.csv;7010001;ANNONAY;45.246;4.671;336;2.2;;
SH_MTN107019005.csv;7019005;AUBENAS SA;44.602;4.41;176;2.2;;
SH_MTN107064001.csv;7064001;CHEYLARD SA;44.915;4.438;418;1.7;;
SH_MTN107105001.csv;7105001;ISSANLAS;44.773;3.982;1215;-1.2;;
SH_MTN107128001.csv;7128001;LALOUVESC;45.118;4.535;1090;-0.2;;
SH_MTN107144001.csv;7144001;LOUBARESSE;44.6;4.049;1220;0;;
SH_MTN107159001.csv;7159001;MIRABEL SA;44.582;4.497;275;3.1;;
SH_MTN107261001.csv;7261001;ST-LAURENT PAPE;44.818;4.747;112;3.3;;
SH_MTN107265001.csv;7265001;ST-MARCEL ANNONAY;45.296;4.642;484;1.4;;
SH_MTN008089003.csv;8089003;BUZANCY_SAPC;49.427;4.965;199;1.7;;
SH_MTN008145001.csv;8145001;DOUZY;49.658;5.04;153;0.9;;
SH_MTN108239001.csv;8239001;JUNIVILLE;49.397;4.372;90;1.4;;
SH_MTN008255001.csv;8255001;LINAY;49.617;5.217;177;0.7;;
SH_MTN008367002.csv;8367002;ROCROI;49.919;4.53;382;0.5;;
SH_MTN109023002.csv;9023002;ASCOU LAVAIL;42.724;1.895;1100;-0.6;;
SH_MTN109289001.csv;9289001;ST GIRONS;43.005;1.107;414;2.6;;
SH_MTN110057001.csv;10057001;BOUY-SUR-ORVIN;48.44;3.505;102;2.6;;
SH_MTN111012001.csv;11012001;ARGELIERS;43.308;2.912;31;5.4;;
SH_MTN211069001.csv;11069001;CARCASSONNE;43.215;2.296;128;5.3;;
SH_MTN211076001.csv;11076001;CASTELNAUDARY;43.305;1.949;160;5.4;;
SH_MTN112253001.csv;12253001;SALLES CURAN;44.152;2.866;959;1.7;;
SH_MTN213001009.csv;13001009;AIX EN PROVENCE;43.53;5.425;173;4.5;;
SH_MTN213047001.csv;13047001;ISTRES;43.523;4.928;23;6.2;;
SH_MTN213054001.csv;13054001;MARIGNANE;43.438;5.216;9;5.7;;
SH_MTN113103001.csv;13103001;SALON DE PROVENCE;43.613;5.108;58;4;;
SH_MTN314137001.csv;14137001;CAEN-CARPIQUET;49.18;-0.456;67;2.1;;
SH_MTN114239001.csv;14239001;ENGLESQUEVILLE;49.388;-0.957;38;3.6;;
SH_MTN214578001.csv;14578001;ST GATIEN DES B;49.365;0.167;139;2.2;;
SH_MTN015050001.csv;15050001;LE CLAUX;45.173;2.711;1033;0.2;;
SH_MTN115118002.csv;15118002;MARMANHAC;45.003;2.475;644;0.7;;
SH_MTN216089001.csv;16089001;COGNAC;45.665;-0.316;30;4.2;;
SH_MTN216113001.csv;16113001;LA COURONNE;45.628;0.1;58;4.2;;
SH_MTN016279001.csv;16279001;RIOUX MARTIN;45.262;0.003;81;3.8;;
SH_MTN017243002.csv;17243002;MONTLIEU_SAPC;45.22;-0.292;89;4.1;;
SH_MTN017300009.csv;17300009;LA ROCHELLE-ILE DE RE;46.178;-1.193;20;4.3;;
SH_MTN317323001.csv;17323001;CHASSIRON;46.047;-1.412;11;5.9;;
SH_MTN017339002.csv;17339002;ST GERMAIN DE LUSIGNAN;45.458;-0.41;71;4.3;;
SH_MTN117415003.csv;17415003;SAINTES;45.761;-0.652;38;4;;
SH_MTN418033001.csv;18033001;BOURGES;47.059;2.36;161;3;;
SH_MTN218092001.csv;18092001;AVORD;47.052;2.642;175;3;;
SH_MTN118223003.csv;18223003;ST-MARTIN-D'A.;47.201;2.417;172;2.4;;
SH_MTN018279001.csv;18279001;VIERZON - VEVES;47.22;2.014;98;2.6;;
SH_MTN119275001.csv;19275001;USSEL-LAMARTINE;45.559;2.321;654;-0.2;;
SH_MTN120004002.csv;20004002;AJACCIO;41.918;8.793;5;8.6;;
SH_MTN120041001.csv;20041001;CAP PERTUSATO;41.375;9.178;107;11.7;;
SH_MTN120050001.csv;20050001;CALVI;42.53;8.792;57;8.7;;
SH_MTN120107001.csv;20107001;CAP CORSE;43.004;9.36;72;11.6;;
SH_MTN120148001.csv;20148001;BASTIA;42.541;9.485;10;8;;
SH_MTN421154001.csv;21154001;CHATILLON/SEINE;47.849;4.581;262;2;;
SH_MTN321473001.csv;21473001;DIJON-LONGVIC;47.268;5.088;219;1.8;;
SH_MTN121527001.csv;21527001;LA ROCHEPOT;46.953;4.674;417;0.3;;
SH_MTN121638002.csv;21638002;TIL-CHATEL_SAPC;47.545;5.208;283;0.9;;
SH_MTN122016001.csv;22016001;ILE-DE-BREHAT;48.855;-3.005;25;6.1;;
SH_MTN122168001.csv;22168001;PLOUMANAC'H;48.826;-3.473;55;5.6;;
SH_MTN022266001.csv;22266001;ROSTRENEN;48.227;-3.295;236;2.6;;
SH_MTN122282001.csv;22282001;SAINT-CAST-LE-G;48.645;-2.247;35;4.8;;
SH_MTN022372001.csv;22372001;ST BRIEUC;48.535;-2.852;135;3.8;;
SH_MTN123030004.csv;23030004;BOURGANEUF;45.942;1.726;513;2.5;;
SH_MTN123067001.csv;23067001;LA COURTINE;45.703;2.264;772;-0.1;;
SH_MTN024037005.csv;24037005;BERGERAC;44.823;0.524;49;3.2;;
SH_MTN024138004.csv;24138004;COULOUNIEIX;45.16;0.677;217;4.2;;
SH_MTN225021001.csv;25021001;ARC-ET-SENANS;47.032;5.782;235;1.6;;
SH_MTN325056001.csv;25056001;BESANCON;47.249;5.989;307;2.2;;
SH_MTN025462001.csv;25462001;PONTARLIER;46.905;6.34;831;0;;
SH_MTN126168001.csv;26168001;LUS L CROIX HTE;44.673;5.711;1059;-1.3;;
SH_MTN226198001.csv;26198001;MONTELIMAR;44.581;4.733;73;4.5;;
SH_MTN026295001.csv;26295001;ST-BARTHELEMY-V_SAPC;45.174;4.903;203;3.8;;
